epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,957.02,1.00646,0.91148,1.21242,0.78596,0.60249,0.67081,0.39418,1.31032,1.05655,1.30867,0.000247472,0.000247472,0.000247472
68,970.987,1.01531,0.93006,1.2222,0.79055,0.59928,0.66744,0.38555,1.33049,1.08756,1.32173,0.000240404,0.000240404,0.000240404
69,985,1.01753,0.91778,1.22544,0.80973,0.58598,0.66849,0.38834,1.30832,1.05548,1.31055,0.000233335,0.000233335,0.000233335
70,998.969,0.99812,0.89702,1.2047,0.78726,0.60464,0.67328,0.39693,1.28556,1.02655,1.29823,0.000226267,0.000226267,0.000226267
71,1013.11,1.00692,0.90006,1.20493,0.81609,0.60235,0.67477,0.3952,1.30843,1.03142,1.31214,0.000219198,0.000219198,0.000219198
72,1027.28,0.9877,0.89344,1.20121,0.79618,0.59813,0.66769,0.3902,1.3203,1.04238,1.31523,0.000212129,0.000212129,0.000212129
73,1041.21,0.98787,0.88399,1.2044,0.81134,0.58546,0.6717,0.39906,1.27777,1.02559,1.29689,0.000205061,0.000205061,0.000205061
74,1054.99,0.98657,0.89675,1.20931,0.80549,0.59961,0.6779,0.40011,1.28201,1.01705,1.28544,0.000197992,0.000197992,0.000197992
75,1068.94,0.98142,0.88577,1.20072,0.78876,0.60658,0.6769,0.39686,1.29776,1.02064,1.30643,0.000190924,0.000190924,0.000190924
76,1082.89,0.98892,0.88548,1.19915,0.79816,0.59849,0.67271,0.39661,1.29899,1.03061,1.31363,0.000183855,0.000183855,0.000183855
77,1096.87,0.98604,0.88326,1.19829,0.81179,0.59535,0.676,0.39924,1.29098,1.01827,1.30643,0.000176786,0.000176786,0.000176786
78,1110.82,0.97389,0.86922,1.19394,0.79873,0.61579,0.68319,0.40272,1.27966,1.00943,1.29672,0.000169718,0.000169718,0.000169718
79,1124.7,0.98881,0.88752,1.20991,0.82481,0.59817,0.67781,0.40221,1.29178,1.01488,1.29429,0.000162649,0.000162649,0.000162649
80,1138.71,0.98479,0.87042,1.19808,0.80694,0.60397,0.68052,0.40407,1.27466,1.00276,1.28493,0.000155581,0.000155581,0.000155581
81,1152.57,0.96467,0.85176,1.1886,0.82734,0.59066,0.68163,0.40224,1.28275,0.99977,1.293,0.000148512,0.000148512,0.000148512
82,1166.48,0.96862,0.85624,1.19165,0.7902,0.61719,0.68612,0.40386,1.28156,0.99617,1.29412,0.000141443,0.000141443,0.000141443
83,1180.35,0.968,0.8466,1.17599,0.81217,0.61148,0.68459,0.40907,1.26542,0.98034,1.28451,0.000134375,0.000134375,0.000134375
84,1194.32,0.94588,0.85018,1.18355,0.82713,0.60458,0.68593,0.40586,1.26878,0.98922,1.28516,0.000127306,0.000127306,0.000127306
85,1208.35,0.96026,0.85014,1.18726,0.83353,0.61274,0.69202,0.40932,1.2722,0.97505,1.28377,0.000120238,0.000120238,0.000120238
86,1222.25,0.94469,0.83235,1.17348,0.83114,0.59928,0.68686,0.40704,1.27617,0.98284,1.28204,0.000113169,0.000113169,0.000113169
87,1236.24,0.9464,0.82849,1.17271,0.81031,0.60992,0.69104,0.41361,1.26393,0.98453,1.28357,0.0001061,0.0001061,0.0001061
88,1250.17,0.95936,0.84477,1.18206,0.81698,0.62325,0.69773,0.41554,1.26473,0.97149,1.28643,9.90318e-05,9.90318e-05,9.90318e-05
89,1264.07,0.93971,0.81637,1.1662,0.8198,0.61684,0.69504,0.41553,1.27572,0.9767,1.29155,9.19632e-05,9.19632e-05,9.19632e-05
90,1278.06,0.94479,0.82063,1.17281,0.8042,0.62215,0.69379,0.4175,1.26284,0.96837,1.28343,8.48946e-05,8.48946e-05,8.48946e-05
91,1361.13,0.95586,0.81168,1.19053,0.80834,0.59833,0.67941,0.4052,1.27553,1.01174,1.28618,7.7826e-05,7.7826e-05,7.7826e-05
92,1374.66,0.92652,0.74752,1.15674,0.80893,0.6137,0.68739,0.40736,1.26858,0.99776,1.29817,7.07574e-05,7.07574e-05,7.07574e-05
93,1388.12,0.91872,0.73962,1.15806,0.82086,0.61598,0.69058,0.40919,1.27179,0.9894,1.29115,6.36888e-05,6.36888e-05,6.36888e-05
94,1401.66,0.89967,0.72055,1.15292,0.83865,0.61349,0.69374,0.41462,1.2609,0.97053,1.28575,5.66202e-05,5.66202e-05,5.66202e-05
95,1415.12,0.9014,0.72233,1.15103,0.81365,0.61845,0.69151,0.41278,1.26524,0.97157,1.2875,4.95516e-05,4.95516e-05,4.95516e-05
96,1428.68,0.89049,0.71083,1.14906,0.82298,0.61498,0.6942,0.41516,1.25745,0.96009,1.28528,4.2483e-05,4.2483e-05,4.2483e-05
97,1442.27,0.87889,0.7071,1.1387,0.82777,0.61147,0.695,0.41783,1.25727,0.95851,1.2828,3.54144e-05,3.54144e-05,3.54144e-05
98,1455.83,0.88793,0.69725,1.14424,0.82449,0.61801,0.69675,0.41657,1.25756,0.9571,1.28806,2.83458e-05,2.83458e-05,2.83458e-05
99,1469.41,0.88224,0.69797,1.14298,0.82081,0.6179,0.69654,0.41973,1.25064,0.95563,1.28043,2.12772e-05,2.12772e-05,2.12772e-05
100,1482.93,0.89892,0.70557,1.15157,0.82786,0.61551,0.69906,0.42004,1.25268,0.9542,1.28299,1.42086e-05,1.42086e-05,1.42086e-05
